boro_cd,BOROUGH,year,poverty_rate,REFUSETONSCOLLECTED,total_recycled,unemployment_cd,pct_white_nh,pct_hispanic,pct_black_nh,pct_foreign_born,fp_100_mhhi,pct_recycled_CURRENT,pct_recycled_2009
101,,2009,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,52.54816131380981
101,,2010,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,52.54816131380981
101,,2011,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,52.54816131380981
101,,2012,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,52.54816131380981
101,,2013,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,52.54816131380981
101,,2014,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,52.54816131380981
101,,2015,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,52.54816131380981
101,,2016,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,52.54816131380981
101,,2017,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,52.54816131380981
101,,2018,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,52.54816131380981
101,,2019,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,52.54816131380981
102,,2009,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,35.76755225167286
102,,2010,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,35.76755225167286
102,,2011,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,35.76755225167286
102,,2012,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,35.76755225167286
102,,2013,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,35.76755225167286
102,,2014,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,35.76755225167286
102,,2015,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,35.76755225167286
102,,2016,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,35.76755225167286
102,,2017,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,35.76755225167286
102,,2018,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,35.76755225167286
102,,2019,,,,2.8,72.0,6.4,2.3,23.9,121000.0,,35.76755225167286
103,,2009,,,,4.1,32.7,25.1,7.4,34.9,18000.0,,20.93097425169256
103,,2010,,,,4.1,32.7,25.1,7.4,34.9,18000.0,,20.93097425169256
103,,2011,,,,4.1,32.7,25.1,7.4,34.9,18000.0,,20.93097425169256
103,,2012,,,,4.1,32.7,25.1,7.4,34.9,18000.0,,20.93097425169256
103,,2013,,,,4.1,32.7,25.1,7.4,34.9,18000.0,,20.93097425169256
103,,2014,,,,4.1,32.7,25.1,7.4,34.9,18000.0,,20.93097425169256
103,,2015,,,,4.1,32.7,25.1,7.4,34.9,18000.0,,20.93097425169256
103,,2016,,,,4.1,32.7,25.1,7.4,34.9,18000.0,,20.93097425169256
103,,2017,,,,4.1,32.7,25.1,7.4,34.9,18000.0,,20.93097425169256
103,,2018,,,,4.1,32.7,25.1,7.4,34.9,18000.0,,20.93097425169256
103,,2019,,,,4.1,32.7,25.1,7.4,34.9,18000.0,,20.93097425169256
104,,2009,,,,3.7,59.3,15.1,6.0,29.4,105000.0,,37.66650937698891
104,,2010,,,,3.7,59.3,15.1,6.0,29.4,105000.0,,37.66650937698891
104,,2011,,,,3.7,59.3,15.1,6.0,29.4,105000.0,,37.66650937698891
104,,2012,,,,3.7,59.3,15.1,6.0,29.4,105000.0,,37.66650937698891
104,,2013,,,,3.7,59.3,15.1,6.0,29.4,105000.0,,37.66650937698891
104,,2014,,,,3.7,59.3,15.1,6.0,29.4,105000.0,,37.66650937698891
104,,2015,,,,3.7,59.3,15.1,6.0,29.4,105000.0,,37.66650937698891
104,,2016,,,,3.7,59.3,15.1,6.0,29.4,105000.0,,37.66650937698891
104,,2017,,,,3.7,59.3,15.1,6.0,29.4,105000.0,,37.66650937698891
104,,2018,,,,3.7,59.3,15.1,6.0,29.4,105000.0,,37.66650937698891
104,,2019,,,,3.7,59.3,15.1,6.0,29.4,105000.0,,37.66650937698891
105,,2009,,,,3.7,59.3,15.1,6.0,29.4,,,33.444170133543
105,,2010,,,,3.7,59.3,15.1,6.0,29.4,,,33.444170133543
105,,2011,,,,3.7,59.3,15.1,6.0,29.4,,,33.444170133543
105,,2012,,,,3.7,59.3,15.1,6.0,29.4,,,33.444170133543
105,,2013,,,,3.7,59.3,15.1,6.0,29.4,,,33.444170133543
105,,2014,,,,3.7,59.3,15.1,6.0,29.4,,,33.444170133543
105,,2015,,,,3.7,59.3,15.1,6.0,29.4,,,33.444170133543
105,,2016,,,,3.7,59.3,15.1,6.0,29.4,,,33.444170133543
105,,2017,,,,3.7,59.3,15.1,6.0,29.4,,,33.444170133543
105,,2018,,,,3.7,59.3,15.1,6.0,29.4,,,33.444170133543
105,,2019,,,,3.7,59.3,15.1,6.0,29.4,,,33.444170133543
106,,2009,,,,2.4,68.7,9.0,3.3,22.3,92000.0,,39.07320416552111
106,,2010,,,,2.4,68.7,9.0,3.3,22.3,92000.0,,39.07320416552111
106,,2011,,,,2.4,68.7,9.0,3.3,22.3,92000.0,,39.07320416552111
106,,2012,,,,2.4,68.7,9.0,3.3,22.3,92000.0,,39.07320416552111
106,,2013,,,,2.4,68.7,9.0,3.3,22.3,92000.0,,39.07320416552111
106,,2014,,,,2.4,68.7,9.0,3.3,22.3,92000.0,,39.07320416552111
106,,2015,,,,2.4,68.7,9.0,3.3,22.3,92000.0,,39.07320416552111
106,,2016,,,,2.4,68.7,9.0,3.3,22.3,92000.0,,39.07320416552111
106,,2017,,,,2.4,68.7,9.0,3.3,22.3,92000.0,,39.07320416552111
106,,2018,,,,2.4,68.7,9.0,3.3,22.3,92000.0,,39.07320416552111
106,,2019,,,,2.4,68.7,9.0,3.3,22.3,92000.0,,39.07320416552111
107,,2009,,,,3.4,67.3,15.0,5.6,23.0,87000.0,,34.4535111767942
107,,2010,,,,3.4,67.3,15.0,5.6,23.0,87000.0,,34.4535111767942
107,,2011,,,,3.4,67.3,15.0,5.6,23.0,87000.0,,34.4535111767942
107,,2012,,,,3.4,67.3,15.0,5.6,23.0,87000.0,,34.4535111767942
107,,2013,,,,3.4,67.3,15.0,5.6,23.0,87000.0,,34.4535111767942
107,,2014,,,,3.4,67.3,15.0,5.6,23.0,87000.0,,34.4535111767942
107,,2015,,,,3.4,67.3,15.0,5.6,23.0,87000.0,,34.4535111767942
107,,2016,,,,3.4,67.3,15.0,5.6,23.0,87000.0,,34.4535111767942
107,,2017,,,,3.4,67.3,15.0,5.6,23.0,87000.0,,34.4535111767942
107,,2018,,,,3.4,67.3,15.0,5.6,23.0,87000.0,,34.4535111767942
107,,2019,,,,3.4,67.3,15.0,5.6,23.0,87000.0,,34.4535111767942
108,,2009,,,,2.1,75.6,9.5,2.4,23.2,72000.0,,34.940714934838006
108,,2010,,,,2.1,75.6,9.5,2.4,23.2,72000.0,,34.940714934838006
108,,2011,,,,2.1,75.6,9.5,2.4,23.2,72000.0,,34.940714934838006
108,,2012,,,,2.1,75.6,9.5,2.4,23.2,72000.0,,34.940714934838006
108,,2013,,,,2.1,75.6,9.5,2.4,23.2,72000.0,,34.940714934838006
108,,2014,,,,2.1,75.6,9.5,2.4,23.2,72000.0,,34.940714934838006
108,,2015,,,,2.1,75.6,9.5,2.4,23.2,72000.0,,34.940714934838006
108,,2016,,,,2.1,75.6,9.5,2.4,23.2,72000.0,,34.940714934838006
108,,2017,,,,2.1,75.6,9.5,2.4,23.2,72000.0,,34.940714934838006
108,,2018,,,,2.1,75.6,9.5,2.4,23.2,72000.0,,34.940714934838006
108,,2019,,,,2.1,75.6,9.5,2.4,23.2,72000.0,,34.940714934838006
109,,2009,,,,4.1,28.5,38.0,21.6,33.7,32000.0,,16.952862193958108
109,,2010,,,,4.1,28.5,38.0,21.6,33.7,32000.0,,16.952862193958108
109,,2011,,,,4.1,28.5,38.0,21.6,33.7,32000.0,,16.952862193958108
109,,2012,,,,4.1,28.5,38.0,21.6,33.7,32000.0,,16.952862193958108
109,,2013,,,,4.1,28.5,38.0,21.6,33.7,32000.0,,16.952862193958108
109,,2014,,,,4.1,28.5,38.0,21.6,33.7,32000.0,,16.952862193958108
109,,2015,,,,4.1,28.5,38.0,21.6,33.7,32000.0,,16.952862193958108
109,,2016,,,,4.1,28.5,38.0,21.6,33.7,32000.0,,16.952862193958108
109,,2017,,,,4.1,28.5,38.0,21.6,33.7,32000.0,,16.952862193958108
109,,2018,,,,4.1,28.5,38.0,21.6,33.7,32000.0,,16.952862193958108
109,,2019,,,,4.1,28.5,38.0,21.6,33.7,32000.0,,16.952862193958108
110,,2009,,,,6.9,14.0,23.5,56.1,23.3,25000.0,,11.693098325953377
110,,2010,,,,6.9,14.0,23.5,56.1,23.3,25000.0,,11.693098325953377
110,,2011,,,,6.9,14.0,23.5,56.1,23.3,25000.0,,11.693098325953377
110,,2012,,,,6.9,14.0,23.5,56.1,23.3,25000.0,,11.693098325953377
110,,2013,,,,6.9,14.0,23.5,56.1,23.3,25000.0,,11.693098325953377
110,,2014,,,,6.9,14.0,23.5,56.1,23.3,25000.0,,11.693098325953377
110,,2015,,,,6.9,14.0,23.5,56.1,23.3,25000.0,,11.693098325953377
110,,2016,,,,6.9,14.0,23.5,56.1,23.3,25000.0,,11.693098325953377
110,,2017,,,,6.9,14.0,23.5,56.1,23.3,25000.0,,11.693098325953377
110,,2018,,,,6.9,14.0,23.5,56.1,23.3,25000.0,,11.693098325953377
110,,2019,,,,6.9,14.0,23.5,56.1,23.3,25000.0,,11.693098325953377
111,,2009,,,,6.2,13.8,46.3,29.9,24.2,22000.0,,13.475998820713906
111,,2010,,,,6.2,13.8,46.3,29.9,24.2,22000.0,,13.475998820713906
111,,2011,,,,6.2,13.8,46.3,29.9,24.2,22000.0,,13.475998820713906
111,,2012,,,,6.2,13.8,46.3,29.9,24.2,22000.0,,13.475998820713906
111,,2013,,,,6.2,13.8,46.3,29.9,24.2,22000.0,,13.475998820713906
111,,2014,,,,6.2,13.8,46.3,29.9,24.2,22000.0,,13.475998820713906
111,,2015,,,,6.2,13.8,46.3,29.9,24.2,22000.0,,13.475998820713906
111,,2016,,,,6.2,13.8,46.3,29.9,24.2,22000.0,,13.475998820713906
111,,2017,,,,6.2,13.8,46.3,29.9,24.2,22000.0,,13.475998820713906
111,,2018,,,,6.2,13.8,46.3,29.9,24.2,22000.0,,13.475998820713906
111,,2019,,,,6.2,13.8,46.3,29.9,24.2,22000.0,,13.475998820713906
112,,2009,,,,6.8,18.6,69.2,7.9,46.3,22000.0,,15.712390756862076
112,,2010,,,,6.8,18.6,69.2,7.9,46.3,22000.0,,15.712390756862076
112,,2011,,,,6.8,18.6,69.2,7.9,46.3,22000.0,,15.712390756862076
112,,2012,,,,6.8,18.6,69.2,7.9,46.3,22000.0,,15.712390756862076
112,,2013,,,,6.8,18.6,69.2,7.9,46.3,22000.0,,15.712390756862076
112,,2014,,,,6.8,18.6,69.2,7.9,46.3,22000.0,,15.712390756862076
112,,2015,,,,6.8,18.6,69.2,7.9,46.3,22000.0,,15.712390756862076
112,,2016,,,,6.8,18.6,69.2,7.9,46.3,22000.0,,15.712390756862076
112,,2017,,,,6.8,18.6,69.2,7.9,46.3,22000.0,,15.712390756862076
112,,2018,,,,6.8,18.6,69.2,7.9,46.3,22000.0,,15.712390756862076
112,,2019,,,,6.8,18.6,69.2,7.9,46.3,22000.0,,15.712390756862076
201,,2009,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,8.537181472493822
201,,2010,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,8.537181472493822
201,,2011,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,8.537181472493822
201,,2012,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,8.537181472493822
201,,2013,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,8.537181472493822
201,,2014,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,8.537181472493822
201,,2015,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,8.537181472493822
201,,2016,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,8.537181472493822
201,,2017,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,8.537181472493822
201,,2018,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,8.537181472493822
201,,2019,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,8.537181472493822
202,,2009,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,9.758206308256135
202,,2010,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,9.758206308256135
202,,2011,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,9.758206308256135
202,,2012,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,9.758206308256135
202,,2013,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,9.758206308256135
202,,2014,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,9.758206308256135
202,,2015,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,9.758206308256135
202,,2016,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,9.758206308256135
202,,2017,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,9.758206308256135
202,,2018,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,9.758206308256135
202,,2019,,,,5.9,1.9,67.5,28.7,29.5,17000.0,,9.758206308256135
203,,2009,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,8.390757203845045
203,,2010,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,8.390757203845045
203,,2011,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,8.390757203845045
203,,2012,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,8.390757203845045
203,,2013,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,8.390757203845045
203,,2014,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,8.390757203845045
203,,2015,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,8.390757203845045
203,,2016,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,8.390757203845045
203,,2017,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,8.390757203845045
203,,2018,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,8.390757203845045
203,,2019,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,8.390757203845045
204,,2009,,,,6.6,1.7,65.5,29.3,43.1,24000.0,,8.374256430955525
204,,2010,,,,6.6,1.7,65.5,29.3,43.1,24000.0,,8.374256430955525
204,,2011,,,,6.6,1.7,65.5,29.3,43.1,24000.0,,8.374256430955525
204,,2012,,,,6.6,1.7,65.5,29.3,43.1,24000.0,,8.374256430955525
204,,2013,,,,6.6,1.7,65.5,29.3,43.1,24000.0,,8.374256430955525
204,,2014,,,,6.6,1.7,65.5,29.3,43.1,24000.0,,8.374256430955525
204,,2015,,,,6.6,1.7,65.5,29.3,43.1,24000.0,,8.374256430955525
204,,2016,,,,6.6,1.7,65.5,29.3,43.1,24000.0,,8.374256430955525
204,,2017,,,,6.6,1.7,65.5,29.3,43.1,24000.0,,8.374256430955525
204,,2018,,,,6.6,1.7,65.5,29.3,43.1,24000.0,,8.374256430955525
204,,2019,,,,6.6,1.7,65.5,29.3,43.1,24000.0,,8.374256430955525
205,,2009,,,,7.7,1.2,68.4,27.5,43.4,16000.0,,11.451160159164445
205,,2010,,,,7.7,1.2,68.4,27.5,43.4,16000.0,,11.451160159164445
205,,2011,,,,7.7,1.2,68.4,27.5,43.4,16000.0,,11.451160159164445
205,,2012,,,,7.7,1.2,68.4,27.5,43.4,16000.0,,11.451160159164445
205,,2013,,,,7.7,1.2,68.4,27.5,43.4,16000.0,,11.451160159164445
205,,2014,,,,7.7,1.2,68.4,27.5,43.4,16000.0,,11.451160159164445
205,,2015,,,,7.7,1.2,68.4,27.5,43.4,16000.0,,11.451160159164445
205,,2016,,,,7.7,1.2,68.4,27.5,43.4,16000.0,,11.451160159164445
205,,2017,,,,7.7,1.2,68.4,27.5,43.4,16000.0,,11.451160159164445
205,,2018,,,,7.7,1.2,68.4,27.5,43.4,16000.0,,11.451160159164445
205,,2019,,,,7.7,1.2,68.4,27.5,43.4,16000.0,,11.451160159164445
206,,2009,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,10.042501491484826
206,,2010,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,10.042501491484826
206,,2011,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,10.042501491484826
206,,2012,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,10.042501491484826
206,,2013,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,10.042501491484826
206,,2014,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,10.042501491484826
206,,2015,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,10.042501491484826
206,,2016,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,10.042501491484826
206,,2017,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,10.042501491484826
206,,2018,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,10.042501491484826
206,,2019,,,,8.2,4.2,63.3,30.6,31.4,31000.0,,10.042501491484826
207,,2009,,,,8.6,6.3,71.3,14.8,43.8,,,13.352245150545583
207,,2010,,,,8.6,6.3,71.3,14.8,43.8,,,13.352245150545583
207,,2011,,,,8.6,6.3,71.3,14.8,43.8,,,13.352245150545583
207,,2012,,,,8.6,6.3,71.3,14.8,43.8,,,13.352245150545583
207,,2013,,,,8.6,6.3,71.3,14.8,43.8,,,13.352245150545583
207,,2014,,,,8.6,6.3,71.3,14.8,43.8,,,13.352245150545583
207,,2015,,,,8.6,6.3,71.3,14.8,43.8,,,13.352245150545583
207,,2016,,,,8.6,6.3,71.3,14.8,43.8,,,13.352245150545583
207,,2017,,,,8.6,6.3,71.3,14.8,43.8,,,13.352245150545583
207,,2018,,,,8.6,6.3,71.3,14.8,43.8,,,13.352245150545583
207,,2019,,,,8.6,6.3,71.3,14.8,43.8,,,13.352245150545583
208,,2009,,,,5.6,32.7,48.1,12.1,34.2,47000.0,,23.71150222365638
208,,2010,,,,5.6,32.7,48.1,12.1,34.2,47000.0,,23.71150222365638
