boro_cd,shape_area,shape_leng,pct_recyc_2018,pct_recyc_2009,pct_change
311,103177785.347,51549.5578986,0.22881579476095115,0.2372528116937522,-0.03556129376326056
313,88195686.2688,65821.875617,0.1954727836106204,0.16274032221926643,0.2011330747351736
312,99525499.9882,52245.8304948,0.17987590686246646,0.1802067781073413,-0.0018360643719945724
304,56663216.8876,37008.1003203,0.20133615111094275,0.12683127240653644,0.5874330304405793
206,42664311.3607,35875.7109977,0.14571251830833445,0.10042501491484825,0.4509583935027155
208,92071724.0422,47817.4553969,0.29251758993362204,0.23711502223656386,0.2336527107160018
212,154896607.406,83998.3555079,0.2509380904932135,0.20540473905382287,0.22167624587989354
226,50566410.7461,32820.3985898,,,
317,93810206.713,43326.8506194,0.1695648647273821,0.15856017581402185,0.06940386422292977
309,45326297.5666,29944.4744948,0.16455804098036184,0.12587990678025762,0.3072621770178361
306,85497478.4502,82130.5392861,0.47373214321885015,0.43255251370713826,0.09520145694863014
404,65739662.039,37018.3734343,0.18553460918307554,0.1502992907095204,0.23443436297815645
316,51768906.9149,32997.5749754,0.12354457114337762,0.1074637181836164,0.14963983409065462
412,267333268.014,65928.4109755,0.19302012180403338,0.16556715215056128,0.16581169209522484
405,210395744.598,70005.2524033,0.2833944102302592,0.26484052049498163,0.07005683911434968
205,38317034.9117,29416.378415,0.14583845500114415,0.11451160159164446,0.2735692538928345
482,24293239.4176,32007.6689883,,,
315,131643044.579,115288.541259,0.24635155648323018,0.25045682378708056,-0.016391117805360178
207,53311629.985,44785.4769986,0.1893679145176438,0.13352245150545586,0.4182477357368324
105,43790297.6846,35288.3052001,0.3465141812563756,0.33444170133542994,0.03609741211320272
305,155482769.046,65109.2105076,0.14176287966858728,0.1359170604154868,0.043010194858764006
204,55533796.4099,31291.326867,0.13857993458369094,0.08374256430955525,0.654832709342752
308,45592893.8826,38229.602613,0.21050596796262044,0.15847529987023024,0.32832036370965234
355,26143862.0367,23963.454839,,,
410,171634376.594,105203.963279,0.2380434792434575,0.22730511687209295,0.047242061767607035
483,191669442.391,107281.51011,,,
314,82175671.7296,49291.7913133,0.1800946729638225,0.16159929735665335,0.11445207936980961
302,79329420.7687,74179.9129372,0.37043142319763894,0.32786442442594144,0.12983109968770834
303,79461359.6504,36213.6960369,0.1737703794691006,0.11569884666147041,0.5019197207517967
101,42686588.7045,73762.3932195,0.45706806069628864,0.5254816131380983,-0.1301920956534598
307,104141853.194,87424.4679357,0.25670155155048485,0.23539917967169724,0.09049467338202821
413,350465366.607,139786.949319,0.24893241043724068,0.22263199707417602,0.118134022551583
228,92324083.0967,118917.853613,,,
310,111317142.255,44795.662997,0.3051236865473746,0.28587967061217284,0.06731509062534347
403,83488693.4862,41785.1381646,0.17365207437342825,0.16467525893461948,0.05451222907973574
110,39084627.7669,35825.2907,0.18616224034144557,0.11693098325953377,0.5920693998463162
407,328355406.312,139179.702988,0.24327949861641893,0.23131803735654802,0.05171002398500302
411,260818803.274,97663.8084539,0.33036209659154603,0.30059757510090407,0.09901783632369843
111,66146008.7953,59502.9093913,0.1805074358874672,0.13475998820713905,0.3394735209534889
501,376945329.346,158002.195321,0.2515627146602148,0.23503813871794055,0.07030593431521637
201,60401501.3028,33337.6570471,0.13353251655467716,0.08537181472493825,0.5641288285239006
112,77966612.9262,56219.7631592,0.19689664819676225,0.15712390756862074,0.2531297830075385
202,61854847.8249,49485.2358634,0.16516255682938283,0.09758206308256136,0.6925503685000345
203,44815535.7591,33496.5272859,0.1503076636607669,0.08390757203845044,0.7913480274687101
164,38312333.8349,32721.4113161,,,
103,46879700.6165,30468.3406004,0.2201182515157241,0.2093097425169256,0.051638824207738354
102,37689212.482,34130.5958612,0.40503037259647073,0.3576755225167286,0.1323961163082592
104,49311794.0367,67623.9466839,0.3720489519177717,0.37666509376988916,-0.012255295031234126
107,53152823.1553,39863.7013838,0.3942359072101444,0.344535111767942,0.14425466010465104
109,41892183.2788,34959.1849383,0.23824215336207252,0.16952862193958107,0.40532112298406187
108,55168804.8743,53561.0969,0.3842208669083274,0.34940714934838013,0.0996365346984811
408,207411042.353,69431.9512336,0.24190391024000643,0.23753048227317422,0.01841207042135551
481,47555735.5246,53806.2079492,,,
484,123780064.14,247815.353417,,,
406,82702417.1445,42758.9695606,0.2816504754523368,0.26521873729181383,0.06195541962196849
409,107421788.737,50803.1636968,0.2484132986736374,0.20729975163577186,0.1983289739299956
503,599062130.009,189000.708091,0.26075177041915815,0.2737790866689231,-0.0475833140079055
414,195719590.292,211896.792274,0.17163236452067057,0.1620145069537763,0.05936417514536707
209,114266290.52,62239.7335792,0.14149442403903198,0.10249741978024378,0.3804681556120968
210,178962267.15,270659.686114,0.28598257842406266,0.2417792692190648,0.1828250591863081
480,32717421.4798,45442.7982041,,,
318,235419528.46,189662.441797,0.21171277764962457,0.2187745024477137,-0.0322785549462139
356,133671675.716,265184.253806,,,
106,38729090.0314,42705.9374841,0.3416526337985118,0.3907320416552112,-0.1256088639385452
301,131753328.144,69090.9580516,0.20675462801931208,0.1814700454426874,0.13933199010858321
211,100313564.116,45740.9195348,0.21018373036820573,0.19574832622321547,0.07374471303795116
227,31432007.9583,28391.6297054,,,
401,171548887.019,90042.7181081,0.30828178235185466,0.24422431878645867,0.26228945538140946
402,139891458.906,71543.0446647,0.2747125734565954,0.24137939529000915,0.13809454666392518
502,593198080.456,142669.72448,0.2567177741361156,0.26126501031239563,-0.01740468871374279
595,54715143.1087,110237.328244,,,